full_name,url,language,stars,created_at,days_inactive,lot,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,comment_per_pr_avg,closed_issues,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,avg_file_size_loc,total_commits,net_loc,churn_loc,active_days,churn_hours,cycle_time_hours,cocomo_pm,cocomo_hours,effort_target,reliability_score,effort_hours_real,effort_hours_sampled,effort_coverage_ratio,effort_commits_sampled,effort_total_commits,effort_contributors_seen,effort_was_capped,effort_scaling_factor
mindsdb/mindsdb,https://github.com/mindsdb/mindsdb,Python,39045,2018-08-02T17:56:45Z,1,1,60.0,15.161666666666669,584.6911111111111,380,0.2012,78,0.0,1,1.0,1,0.66,1,10.54,0.2448,9.96,0.08,12,0.006,0.0,19563,8228951.8,586890.0,9781,39126.0,5761.4,30997.24,4959557.9,1013203.0,87.9,6848.4,302.0,0.0409,800,19563,36,False,24.45
D4Vinci/Scrapling,https://github.com/D4Vinci/Scrapling,Python,38617,2024-10-13T20:29:53Z,1,1,60.04,29.88458333333333,35.983888888888885,18,0.97,20,0.0,1,1.0,1,0.86,1,9.704,-1.0245,26.23,0.38,73,0.0013,0.0,1401,224841.1,42030.0,700,2802.0,537.9,848.91,135825.7,28727.5,78.7,392.2,239.3,0.571,800,1401,15,False,1.75
microsoft/BitNet,https://github.com/microsoft/BitNet,Python,38542,2024-08-05T09:07:38Z,46,1,60.0,71.40333333333334,101.22194444444445,15,0.2317,21,0.0,1,1.0,1,0.907,0,6.363,-0.0874,0.0,0.0625,11,0.4981,0.0,82,242775.8,2460.0,41,164.0,1071.0,766.79,122686.5,24940.6,61.3,39.7,39.7,1.1707,96,82,19,False,0.85
gto76/python-cheatsheet,https://github.com/gto76/python-cheatsheet,Python,38350,2018-01-25T04:16:53Z,1,1,60.02,0.0,432.87,12,0.9945,0,0.0,1,0.0,1,1.0,0,14.227,-0.3077,0.0,0.32,0,0.4926,0.0,2883,395732.1,86490.0,1441,5766.0,0.0,1536.96,245914.3,52065.9,69.0,1192.1,356.0,0.2775,800,2883,3,False,3.6
roboflow/supervision,https://github.com/roboflow/supervision,Python,38227,2022-11-28T14:08:44Z,1,1,60.02,13.029722222222222,228.18527777777777,140,0.3506,72,0.0,1,1.0,1,0.84,1,9.924,-2.1678,48.34,0.05,113,0.0,0.0,3819,99542367.1,114570.0,1909,7638.0,1824.2,424736.52,67957843.1,13595934.9,86.4,1014.3,227.6,0.2095,800,3819,50,False,4.77
ManimCommunity/manim,https://github.com/ManimCommunity/manim,Python,37936,2020-05-19T02:37:13Z,4,1,60.0,5.180555555555555,7.428888888888889,408,0.3887,83,0.0,1,1.0,1,0.36,1,10.616,-0.7483,78.44,0.3,94,0.018,0.0,5750,1378099.2,172500.0,2875,11500.0,2113.7,4747.4,759583.9,158300.9,85.8,2216.8,332.6,0.1391,800,5750,134,False,7.19
chatchat-space/Langchain-Chatchat,https://github.com/chatchat-space/Langchain-Chatchat,Python,37909,2023-03-31T12:12:45Z,166,1,60.0,3.2534722222222223,1082.1872222222223,155,0.4042,44,0.0,1,0.0,1,0.96,0,10.208,0.0,27.55,0.14,26,0.0116,0.0,2338,4227540.1,70140.0,1169,4676.0,504.3,15402.93,2464468.9,495383.1,67.1,767.7,282.4,0.3422,800,2338,41,False,2.92
chatanywhere/GPT_API_free,https://github.com/chatanywhere/GPT_API_free,Python,37520,2023-04-23T12:42:08Z,12,1,60.0,1.116111111111111,1506.7416666666668,2,0.9929,1,0.0,1,0.0,0,0.0,0,3.728,0.021,0.0,0.28,0,0.0,0.0,140,163196.3,4200.0,70,280.0,2.2,606.37,97019.4,19544.5,37.7,60.0,60.0,1.0071,141,140,2,False,0.99
openai/gym,https://github.com/openai/gym,Python,37173,2016-04-27T14:59:16Z,29,1,60.0,5.706666666666667,56.5025,364,0.1234,62,0.0,1,1.0,1,0.0,1,13.74,0.0105,208.45,0.16,6,0.0013,0.0,1686,208457.1,50580.0,843,3372.0,2077.2,653.4,104543.9,23217.9,86.3,723.9,367.6,0.4745,800,1686,110,False,2.11
sqlmapproject/sqlmap,https://github.com/sqlmapproject/sqlmap,Python,37135,2012-06-26T09:52:15Z,1,1,60.01,7.696944444444444,12.008333333333333,134,0.7996,50,0.0,1,0.0,1,0.66,0,14.839,-0.2028,30.6,0.16,0,0.0139,0.0,10505,2560438.9,315150.0,5252,21010.0,1031.4,10917.49,1746797.7,360174.0,76.9,3481.1,286.6,0.0762,800,10505,31,False,13.13
satwikkansal/wtfpython,https://github.com/satwikkansal/wtfpython,Python,36923,2017-08-28T20:22:19Z,102,1,60.0,11.93763888888889,632.2630555555555,73,0.6444,80,0.0,1,1.0,1,0.2222,0,10.667,0.0,0.0,0.28,6,0.0,0.0,658,42832.5,19740.0,329,1316.0,871.4,124.04,19846.9,4888.8,64.9,256.4,272.5,1.2158,800,658,66,False,0.82
babysor/MockingBird,https://github.com/babysor/MockingBird,Python,36907,2021-08-07T03:53:39Z,53,1,60.0,25.321944444444444,64.31069444444445,37,0.6602,64,0.0,1,1.0,0,0.0,0,11.126,-0.0315,0.0,0.39,8,0.0044,0.0,206,3826453.9,6180.0,103,412.0,936.9,13872.27,2219563.3,444399.7,52.1,84.4,84.4,1.0437,215,206,42,False,0.96
huggingface/pytorch-image-models,https://github.com/huggingface/pytorch-image-models,Python,36697,2019-02-02T05:51:12Z,1,1,60.02,13.0325,34.74388888888889,165,0.8354,53,0.0,1,0.0,1,0.96,1,12.327,0.7028,29.33,0.02,1,0.1224,0.0,3049,900827.4,91470.0,1524,6098.0,2150.4,3645.58,583292.2,120352.6,81.6,1337.8,377.1,0.2624,800,3049,41,False,3.81
