full_name,url,language,stars,created_at,days_inactive,lot,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,comment_per_pr_avg,closed_issues,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,avg_file_size_loc,total_commits,net_loc,churn_loc,active_days,churn_hours,cycle_time_hours,cocomo_pm,cocomo_hours,effort_target,reliability_score,project_age_days
PaddlePaddle/PaddleOCR,https://github.com/PaddlePaddle/PaddleOCR,Python,76467,2020-05-08 10:38:16+00:00,1,1,248.26,1.1958333333333333,95.0425,275,0.1851,43,0.0,1,1.0,1,0.76,1,9.285,-0.3252,93.7,0.03,4,0.2687,0.0,6759,337950,540720,3379,36048.0,328.9,1085.19,173630.6,52848.8,88.1,2178
josephmisiti/awesome-machine-learning,https://github.com/josephmisiti/awesome-machine-learning,Python,72282,2014-07-15 19:11:19+00:00,3,1,33.72,1.6169444444444443,396.13388888888886,442,0.5221,73,0.0,1,0.0,1,0.0,0,15.019,-0.0385,0.0,0.27,0,0.0,0.0,1812,90600,144960,906,9664.0,714.7,272.39,43582.9,13763.0,79.5,4299
OpenHands/OpenHands,https://github.com/OpenHands/OpenHands,Python,72011,2024-03-13 03:33:31+00:00,0,1,580.05,6.446805555555556,89.13333333333333,461,0.1098,52,0.0,1,1.0,1,0.78,1,8.439,2.3846,7.91,0.16,153,0.3485,0.0,5612,280600,448960,2806,29930.7,2972.0,892.7,142831.3,44423.2,88.9,774
pallets/flask,https://github.com/pallets/flask,Python,71447,2010-04-06 11:11:59+00:00,15,1,64.68,4.629583333333334,1.4694444444444446,398,0.3876,26,0.0,1,0.0,1,0.74,1,15.375,-0.3147,93.84,0.3,128,0.0011,0.0,4729,236450,378320,2364,25221.3,1842.6,745.83,119332.2,37029.9,84.9,5849
hiyouga/LlamaFactory,https://github.com/hiyouga/LlamaFactory,Python,70567,2023-05-28 10:09:12+00:00,1,1,224.2,3.0275,25.16986111111111,253,0.7338,59,0.0,1,2.0,1,0.18,1,9.889,-0.2832,41.37,0.17,66,0.0034,0.0,2979,148950,238320,1489,15888.0,766.0,550.92,88146.5,25803.1,82.6,1063
binary-husky/gpt_academic,https://github.com/binary-husky/gpt_academic,Python,70522,2023-03-20 09:05:13+00:00,89,1,161.15,9.69097222222222,110.65472222222222,101,0.6339,60,0.0,1,1.0,1,0.94,1,5.432,0.0,28.68,0.42,15,0.1612,0.0,2103,105150,168240,1051,11216.0,978.8,318.5,50960.2,16093.7,76.2,1044
nextlevelbuilder/ui-ux-pro-max-skill,https://github.com/nextlevelbuilder/ui-ux-pro-max-skill,Python,70102,2025-11-30 11:36:31+00:00,21,1,83.17,17.089166666666667,104.06486111111111,30,0.3893,42,0.0,1,1.0,1,0.0,0,11.82,-0.1713,12.82,0.19,0,0.2154,0.0,131,6550,10480,65,698.7,512.7,17.27,2763.0,1055.8,66.3,126
ansible/ansible,https://github.com/ansible/ansible,Python,68408,2012-03-06 14:58:02+00:00,0,1,656.13,4.641388888888889,54.848055555555554,373,0.1204,69,0.0,1,1.0,0,0.0,1,16.305,0.3776,5.73,0.08,17,0.1337,0.0,42353,2117650,3388240,21176,225882.7,1731.2,7453.46,1192554.2,351971.6,78.8,5164
FoundationAgents/MetaGPT,https://github.com/FoundationAgents/MetaGPT,Python,67390,2023-06-30 09:04:55+00:00,93,1,399.74,24.95555555555556,1075.9794444444444,116,0.1895,70,0.0,1,1.0,1,0.68,1,9.634,0.0,68.32,0.23,42,0.0251,0.0,4687,234350,374960,2343,24997.3,2894.8,738.87,118219.6,37011.0,80.4,938
OpenBB-finance/OpenBB,https://github.com/OpenBB-finance/OpenBB,Python,66462,2020-12-20 10:46:38+00:00,1,1,224.47,10.29875,36.926944444444445,255,0.189,78,0.0,1,1.0,1,0.74,0,7.87,-0.0035,29.16,0.15,0,0.0,0.0,5477,273850,438160,2738,29210.7,2626.2,870.16,139225.8,43238.4,83.0,1952
labmlai/annotated_deep_learning_paper_implementations,https://github.com/labmlai/annotated_deep_learning_paper_implementations,Python,66377,2020-08-25 02:29:34+00:00,92,1,34.3,22.00875,1048.898888888889,39,0.9045,60,0.0,1,1.5,1,1.0,0,16.406,0.0,0.0,0.33,3,0.1037,0.0,848,42400,67840,424,4522.7,858.3,147.27,23563.9,7231.6,66.0,1978
xtekky/gpt4free,https://github.com/xtekky/gpt4free,Python,66078,2023-03-29 17:00:43+00:00,3,1,298.23,3.5277777777777777,243.355,259,0.5025,74,0.0,1,1.0,1,0.8,0,10.317,0.8182,3.26,0.53,4,0.0158,0.0,4179,208950,334320,2089,22288.0,913.7,655.02,104803.5,32378.8,79.7,1121
scikit-learn/scikit-learn,https://github.com/scikit-learn/scikit-learn,Python,65912,2010-08-17 09:43:38+00:00,0,1,339.45,93.50930555555556,9.590555555555556,409,0.1057,40,0.0,1,2.0,1,0.48,0,15.868,0.4266,40.33,0.04,288,0.0742,0.0,24317,1215850,1945360,12158,129690.7,38245.3,4162.32,665970.9,209513.1,83.9,5731
