stars,days_inactive,code_churn_normalized,pr_merge_time_median_h,issues_resolution_time_h,active_contributors,bus_factor_ratio,pr_count_merged,review_cycle_count,has_ci,ci_success_rate,has_tests,weighted_experience,commit_velocity_trend,release_regularity,weekend_commit_ratio,dependency_count,language_diversity,log_active_contributors,log_pr_count_merged,log_stars,log_dependency_count,log_code_churn_normalized,log_pr_merge_time_median_h,log_issues_resolution_time_h,process_maturity,effort_distribution,ci_failure_rate,pr_per_contributor,exp_weighted_churn,contributor_productivity,review_effort_proxy
60722,0,379.12,51.22625,43.11722222222223,426,0.2343,44,2.0,1,0.8,0,12.23,-5.7273,50.95,0.14,153,0.3904,6.056784013228625,3.8066624897703196,11.014077817963646,5.0369526024136295,5.940486992343114,3.9555852420532744,3.7868502327981455,0.5,0.7657,0.19999999999999996,0.10304449648711944,4636.6376,0.8878688524590164,102.4525
59638,46,8.84,9.917916666666668,1309.0636111111112,17,0.9307,42,1.0,1,0.8889,1,11.038,-0.0035,0.0,0.15,30,0.0,2.8903717578961645,3.7612001156935624,10.996065001467814,3.4339872044851463,2.286455711064162,2.3904051706748835,7.177830973116376,1.0,0.06930000000000003,0.11109999999999998,2.3333333333333335,97.57592,0.4911111111111111,9.917916666666668
58521,0,100.73,1.5116666666666667,53.86972222222222,211,0.2324,91,2.0,1,0.72,1,5.988,1.0385,3.1,0.07,206,0.007,5.356586274672012,4.5217885770490405,10.977158030900029,5.332718793265369,4.622322244805657,0.9209465434103491,4.004961688587179,1.0,0.7676000000000001,0.28,0.42924528301886794,603.17124,0.4751415094339623,3.0233333333333334
57403,9,296.81,6.059722222222222,139.98888888888888,443,0.131,77,1.0,1,0.16,0,12.783,0.0315,8.73,0.19,0,0.384,6.095824562432225,4.356708826689592,10.957869266290823,0.0,5.69645569926974,1.9544057054368014,4.948681085066649,0.5,0.869,0.84,0.17342342342342343,3794.12223,0.668490990990991,6.059722222222222
57290,1,105.17,10.392777777777775,1005.8025,331,0.7653,55,1.0,1,0.96,0,9.084,0.2378,54.61,0.23,34,0.0156,5.805134968916488,4.02535169073515,10.955898822303524,3.5553480614894135,4.665041583025482,2.4329796263715133,6.9145347463728974,0.5,0.23470000000000002,0.040000000000000036,0.16566265060240964,955.36428,0.31677710843373497,10.392777777777775
57253,0,126.16,10.561666666666667,21.15361111111111,36,0.9184,20,1.0,1,1.0,1,14.55,0.4476,0.0,0.19,28,0.3985,3.6109179126442243,3.044522437723423,10.955252787971395,3.367295829986474,4.845446136042602,2.447695028169155,3.098000513050226,1.0,0.0816,0.0,0.5405405405405406,1835.628,3.4097297297297295,10.561666666666667
57205,57,24.32,17.7675,52.58,88,0.3885,35,1.0,1,0.4,1,14.241,-0.035,37.75,0.0,121,0.2423,4.48863636973214,3.58351893845611,10.954414066971678,4.804021044733257,3.2315945972759756,2.9321266504650203,3.9811758641164627,1.0,0.6114999999999999,0.6,0.39325842696629215,346.34112,0.27325842696629216,17.7675
57193,22,161.24,9.547777777777778,20.63305555555556,3,0.8654,2,0.0,1,0.3,0,4.606,0.2727,6.58,0.11,13,0.4234,1.3862943611198906,1.0986122886681098,10.954204276761118,2.6390573296152584,5.089076720402819,2.355915200557488,3.0742224946924206,0.5,0.13460000000000005,0.7,0.5,742.6714400000001,40.31,0.0
57131,163,15.82,82.13777777777777,94.89472222222224,35,0.774,35,0.0,0,0.0,0,15.912,0.0,0.0,0.34,0,0.0,3.58351893845611,3.58351893845611,10.95311965898252,0.0,2.822568654544802,4.420499204790076,4.563250946195835,0.0,0.22599999999999998,1.0,0.9722222222222222,251.72784000000001,0.43944444444444447,0.0
56949,5,99.15,2.0105555555555554,70.82055555555556,95,0.5893,67,0.0,1,0.0,0,3.734,0.3217,67.11,0.13,13,0.0295,4.564348191467836,4.219507705176107,10.949928968875328,2.6390573296152584,4.606669062111827,1.102124631681858,4.274170724155871,0.5,0.41069999999999995,1.0,0.6979166666666666,370.22610000000003,1.0328125000000001,0.0
56839,12,40.26,8.670694444444445,0.0,226,0.6664,54,0.0,1,0.0,1,15.436,0.0,96.72,0.37,0,0.0059,5.424950017481403,4.007333185232471,10.947995582211037,0.0,3.7198935076431057,2.2691001212035804,0.0,1.0,0.3336,1.0,0.23788546255506607,621.45336,0.17735682819383258,0.0
56385,0,232.62,3.5866666666666664,26.70805555555556,350,0.4024,73,1.0,1,0.94,1,8.281,1.5734,2.9,0.07,168,0.0038,5.860786223465865,4.30406509320417,10.939976179722388,5.1298987149230735,5.45369586372755,1.5231535438370878,3.3217231851950006,1.0,0.5976,0.06000000000000005,0.20797720797720798,1926.3262200000001,0.6627350427350428,3.5866666666666664
56368,3,28.87,2.5316666666666663,1492.0411111111111,35,0.638,30,1.0,1,0.5,1,11.176,0.8042,103.81,0.36,8,0.0189,3.58351893845611,3.4339872044851463,10.939674640985677,2.1972245773362196,3.3968546322280186,1.2617699030521525,7.308570333068397,1.0,0.362,0.5,0.8333333333333334,322.65112,0.8019444444444445,2.5316666666666663
56193,12,141.59,6.857638888888889,32.10069444444444,266,0.72,78,2.0,1,0.44,1,14.606,0.6923,47.31,0.59,34,0.0006,5.58724865840025,4.3694478524670215,10.936565268616524,3.5553480614894135,4.959973379294028,2.0614861654975916,3.4995542623576323,1.0,0.28,0.56,0.29213483146067415,2068.06354,0.5302996254681648,13.715277777777779
55902,72,116.05,6.039166666666667,1096.4170833333333,52,0.2926,41,0.0,1,0.94,1,6.457,0.0,0.0,0.32,11,0.0215,3.970291913552122,3.7376696182833684,10.931373324966124,2.4849066497880004,4.76260119393692,1.951489791951405,7.000714591601698,1.0,0.7074,0.06000000000000005,0.7735849056603774,749.33485,2.189622641509434,0.0
